Data Source,Frequency [D/H],Observation time UTC,PERIOD [hrs],Direction [deg T],Speed [m/s]
M,H,2003-11-02T11:00:00Z,0.17,,16.99
M,H,2003-11-02T12:00:00Z,0.17,,14.93
M,H,2003-11-03T05:00:00Z,0.17,,15.44
M,H,2003-11-03T08:00:00Z,0.17,,12.35
M,H,2003-11-03T09:00:00Z,0.17,,13.38
M,H,2003-11-03T10:00:00Z,0.17,,16.99
M,H,2003-11-04T01:00:00Z,0.17,,15.96
M,H,2003-11-04T02:00:00Z,0.17,,13.38
M,H,2003-11-04T03:00:00Z,0.17,,14.93
M,H,2003-11-04T04:00:00Z,0.17,,10.81
M,H,2003-11-06T19:00:00Z,0.17,,27.8
M,H,2003-11-06T20:00:00Z,0.17,,13.38
M,H,2003-11-06T21:00:00Z,0.17,,9.27
M,H,2003-11-07T01:00:00Z,0.17,,13.38
M,H,2003-11-07T04:00:00Z,0.17,,13.38
M,H,2003-11-07T05:00:00Z,0.17,,18.53
M,H,2003-11-07T06:00:00Z,0.17,,16.47
M,H,2003-11-07T11:00:00Z,0.17,,16.47
M,H,2003-11-07T12:00:00Z,0.17,,17.5
M,H,2003-11-07T13:00:00Z,0.17,,19.56
M,H,2003-11-07T14:00:00Z,0.17,,16.47
M,H,2003-11-07T15:00:00Z,0.17,,16.99
M,H,2003-11-07T16:00:00Z,0.17,,13.9
M,H,2003-11-07T17:00:00Z,0.17,,17.5
M,H,2003-11-07T18:00:00Z,0.17,,14.41
M,H,2003-11-07T19:00:00Z,0.17,,15.96
M,H,2003-11-07T20:00:00Z,0.17,,15.44
M,H,2003-11-07T21:00:00Z,0.17,,18.02
M,H,2003-11-07T22:00:00Z,0.17,,18.53
M,H,2003-11-07T23:00:00Z,0.17,,15.44
M,H,2003-11-08T00:00:00Z,0.17,,14.41
M,H,2003-11-08T07:00:00Z,0.17,,13.38
M,H,2003-11-12T23:00:00Z,0.17,,18.02
M,H,2003-11-13T02:00:00Z,0.17,,14.93
M,H,2003-11-13T04:00:00Z,0.17,,13.38
M,H,2003-11-14T17:00:00Z,0.17,,10.81
M,H,2003-11-14T23:00:00Z,0.17,,13.38
M,H,2003-11-15T00:00:00Z,0.17,,13.9
M,H,2003-11-15T02:00:00Z,0.17,,10.81
M,H,2003-11-16T02:00:00Z,0.17,,18.53
M,H,2003-11-16T03:00:00Z,0.17,,26.25
M,H,2003-11-16T04:00:00Z,0.17,,21.62
M,H,2003-11-16T05:00:00Z,0.17,,18.53
M,H,2003-11-16T06:00:00Z,0.17,,19.56
M,H,2003-11-16T07:00:00Z,0.17,,16.47
M,H,2003-11-16T09:00:00Z,0.17,,16.47
M,H,2003-11-16T10:00:00Z,0.17,,14.41
M,H,2003-11-16T11:00:00Z,0.17,,15.96
M,H,2003-11-16T16:00:00Z,0.17,,15.44
M,H,2003-11-16T20:00:00Z,0.17,,13.38
M,H,2003-11-17T00:00:00Z,0.17,,14.41
M,H,2003-11-17T02:00:00Z,0.17,,10.81
M,H,2003-11-17T03:00:00Z,0.17,,11.32
M,H,2003-11-17T04:00:00Z,0.17,,10.81
M,H,2003-11-20T20:00:00Z,0.17,,8.75
M,H,2003-11-22T14:00:00Z,0.17,,11.32
M,H,2003-11-23T17:00:00Z,0.17,,14.41
M,H,2003-11-23T19:00:00Z,0.17,,14.93
M,H,2003-11-23T21:00:00Z,0.17,,13.38
M,H,2003-11-23T22:00:00Z,0.17,,14.93
M,H,2003-11-24T00:00:00Z,0.17,,14.93
M,H,2003-11-24T01:00:00Z,0.17,,15.96
M,H,2003-11-24T04:00:00Z,0.17,,11.32
M,H,2003-11-24T05:00:00Z,0.17,,12.35
M,H,2003-11-25T03:00:00Z,0.17,,9.27
M,H,2003-11-27T02:00:00Z,0.17,,10.3
M,H,2003-11-27T03:00:00Z,0.17,,9.27
M,H,2003-11-27T04:00:00Z,0.17,,9.78
M,H,2003-11-27T09:00:00Z,0.17,,9.78
M,H,2003-11-27T21:00:00Z,0.17,,13.9
M,H,2003-11-28T00:00:00Z,0.17,,12.87
M,H,2003-11-28T01:00:00Z,0.17,,13.38
M,H,2003-11-28T02:00:00Z,0.17,,15.44
M,H,2003-11-28T04:00:00Z,0.17,,14.41
M,H,2003-11-28T09:00:00Z,0.17,,13.38
M,H,2003-11-29T02:00:00Z,0.17,,12.35
M,H,2003-11-29T03:00:00Z,0.17,,13.9
M,H,2003-11-29T04:00:00Z,0.17,,12.87
M,H,2003-11-29T10:00:00Z,0.17,,10.81
M,H,2003-11-29T22:00:00Z,0.17,,13.9
M,H,2003-11-29T23:00:00Z,0.17,,12.35
M,H,2003-12-01T09:00:00Z,0.17,,9.78
M,H,2003-12-01T14:00:00Z,0.17,,15.96
M,H,2003-12-01T21:00:00Z,0.17,,15.44
M,H,2003-12-02T01:00:00Z,0.17,,16.99
M,H,2003-12-02T02:00:00Z,0.17,,15.96
M,H,2003-12-02T04:00:00Z,0.17,,10.81
M,H,2003-12-05T18:00:00Z,0.17,,18.53
M,H,2003-12-05T19:00:00Z,0.17,,13.9
M,H,2003-12-05T22:00:00Z,0.17,,18.02
M,H,2003-12-05T23:00:00Z,0.17,,15.44
M,H,2003-12-06T02:00:00Z,0.17,,12.87
M,H,2003-12-06T03:00:00Z,0.17,,15.96
M,H,2003-12-06T05:00:00Z,0.17,,14.93
M,H,2003-12-06T06:00:00Z,0.17,,11.32
M,H,2003-12-07T04:00:00Z,0.17,,12.87
M,H,2003-12-11T11:00:00Z,0.17,,16.47
M,H,2003-12-13T04:00:00Z,0.17,,15.44
M,H,2003-12-13T05:00:00Z,0.17,,18.02
M,H,2003-12-13T23:00:00Z,0.17,,20.08
M,H,2003-12-14T00:00:00Z,0.17,,17.5
M,H,2003-12-14T01:00:00Z,0.17,,17.5
M,H,2003-12-14T02:00:00Z,0.17,,15.44
